date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,exchange_rate_buying,Crud_Price_Monthly_Average,Crude_price_GHS
4/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,25.5,27.72,0.857627842,70.56,60.51422054
4/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,18.74,20.37,0.857627842,70.56,60.51422054
4/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,28.6,31.09,0.857627842,70.56,60.51422054
4/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,29.16,31.7,0.857627842,70.56,60.51422054
4/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,27.74,30.15,0.857627842,70.56,60.51422054
4/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,82.5,89.67,0.857627842,70.56,60.51422054
5/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,9.63,10.47,0.906479714,70.97,64.33286532
5/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,22,23.91,0.906479714,70.97,64.33286532
5/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,41.5,45.11,0.906479714,70.97,64.33286532
5/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,37.63,40.9,0.906479714,70.97,64.33286532
